Original	Reconstructed	Difference
378.0	378.0	
998.0	998.0	
781.0	781.0	
151.0	151.0	
738.0	746.0	8.0
754.0	746.0	8.0
885.0	885.5	0.5
886.0	885.5	0.5
113.0	113.0	
509.0	509.0	
84.0	84.0	
580.0	580.0	
113.0	113.0	
420.0	420.0	
941.0	941.0	
983.0	983.0	
301.0	301.0	
243.0	243.0	
367.0	367.0	
631.0	631.0	
543.0	543.0	
758.0	758.0	
40.0	40.0	
774.0	774.0	
505.0	505.0	
414.0	414.0	
667.0	667.0	
801.0	801.0	
824.0	824.0	
545.0	545.0	
11.0	11.0	
882.0	882.0	
664.0	664.0	
87.0	87.0	
499.0	499.0	
261.0	261.0	
610.0	610.0	
322.0	322.0	
701.0	701.0	
392.0	392.0	
224.0	224.0	
555.0	555.0	
288.0	288.0	
453.0	453.0	
924.0	924.0	
502.0	502.0	
121.0	121.0	
336.0	336.0	
597.0	597.0	
270.0	270.0	
180.0	180.0	
180.0	180.0	
70.0	70.0	
586.0	586.0	
862.0	862.0	
207.0	207.0	
614.0	614.0	
115.0	115.0	
811.0	811.0	
488.0	488.0	
226.0	226.0	
303.0	303.0	
160.0	160.0	
633.0	633.0	
119.0	119.0	
300.0	300.0	
630.0	630.0	
846.0	846.0	
39.0	39.0	
638.0	638.0	
418.0	418.0	
982.0	982.0	
9.0	9.0	
860.0	860.0	
419.0	419.0	
359.0	359.0	
588.0	588.0	
1000.0	1000.0	
211.0	211.0	
39.0	39.0	
653.0	653.0	
489.0	489.0	
437.0	437.0	
754.0	754.0	
408.0	408.0	
193.0	193.0	
358.0	358.0	
857.0	857.0	
846.0	846.0	
780.0	780.0	
279.0	279.0	
785.0	785.0	
982.0	982.0	
737.0	737.0	
650.0	650.0	
755.0	755.0	
36.0	36.0	
690.0	690.0	
87.0	87.0	
856.0	856.0	
391.0	391.0	
75.0	75.0	
320.0	320.0	
783.0	783.0	
315.0	315.0	
640.0	640.0	
649.0	649.0	
414.0	414.0	
654.0	654.0	
762.0	762.0	
829.0	829.0	
627.0	627.0	
198.0	198.0	
539.0	539.0	
421.0	421.0	
560.0	560.0	
276.0	276.0	
91.0	91.0	
935.0	935.0	
559.0	559.0	
427.0	437.0	10.0
447.0	437.0	10.0
520.0	520.0	
635.0	635.0	
337.0	337.0	
30.0	30.0	
679.0	679.0	
25.0	25.0	
701.0	701.0	
624.0	624.0	
581.0	581.0	
841.0	841.0	
927.0	927.0	
30.0	30.0	
934.0	934.0	
896.0	896.0	
748.0	748.0	
344.0	344.0	
503.0	503.0	
909.0	909.0	
958.0	958.0	
24.0	24.0	
113.0	113.0	
595.0	595.0	
342.0	342.0	
273.0	273.0	
822.0	822.0	
227.0	227.0	
551.0	549.5	1.5
548.0	549.5	1.5
552.0	552.0	
679.0	679.0	
87.0	87.0	
298.0	298.0	
381.0	381.0	
972.0	972.0	
542.0	542.0	
48.0	48.0	
632.0	632.0	
517.0	517.0	
653.0	653.0	
415.0	415.0	
275.0	275.0	
188.0	188.0	
86.0	86.0	
885.0	885.0	
860.0	863.0	3.0
866.0	863.0	3.0
5.0	5.0	
810.0	810.0	
264.0	264.0	
408.0	408.0	
916.0	916.0	
359.0	359.0	
332.0	332.0	
515.0	515.0	
834.0	834.0	
410.0	410.0	
512.0	512.0	
566.0	566.0	
608.0	602.0	6.0
596.0	602.0	6.0
421.0	421.0	
861.0	861.0	
170.0	170.0	
944.0	944.0	
421.0	421.0	
515.0	515.0	
872.0	872.0	
661.0	661.0	
437.0	437.0	
34.0	34.0	
269.0	269.0	
118.0	118.0	
625.0	625.0	
263.0	263.0	
118.0	131.0	13.0
144.0	131.0	13.0
145.0	145.0	
303.0	303.0	
724.0	724.0	
606.0	606.0	
742.0	742.0	
988.0	988.0	
548.0	548.0	
548.0	548.0	
387.0	387.0	
870.0	870.0	
880.0	889.5	9.5
899.0	889.5	9.5
782.0	782.0	
573.0	573.0	
401.0	401.0	
558.0	558.0	
880.0	880.0	
41.0	41.0	
537.0	537.0	
425.0	425.0	
446.0	446.0	
944.0	944.0	
939.0	939.0	
178.0	178.0	
877.0	877.0	
