Original	Reconstructed	Difference
713.0	713.0	
879.0	879.0	
221.0	221.0	
356.0	356.0	
386.0	386.0	
52.0	52.0	
144.0	144.0	
667.0	667.0	
203.0	203.0	
618.0	618.0	
666.0	666.0	
145.0	145.0	
315.0	315.0	
879.0	879.0	
125.0	125.0	
27.0	27.0	
650.0	650.0	
17.0	17.0	
950.0	950.0	
967.0	967.0	
681.0	681.0	
206.0	206.0	
193.0	193.0	
18.0	18.0	
179.0	179.0	
591.0	591.0	
271.0	271.0	
876.0	876.0	
463.0	463.0	
429.0	429.0	
161.0	161.0	
1.0	1.0	
688.0	688.0	
972.0	972.0	
774.0	774.0	
916.0	916.0	
154.0	154.0	
884.0	884.0	
217.0	217.0	
748.0	748.0	
146.0	146.0	
750.0	750.0	
702.0	702.0	
204.0	204.0	
21.0	21.0	
905.0	905.0	
334.0	334.0	
231.0	231.0	
397.0	400.0	TRUE
403.0	400.0	TRUE
788.0	788.0	
485.0	485.0	
314.0	314.0	
450.0	450.0	
459.0	459.0	
281.0	281.0	
22.0	22.0	
192.0	192.0	
196.0	196.0	
419.0	419.0	
558.0	558.0	
507.0	507.0	
721.0	721.0	
484.0	484.0	
80.0	80.0	
571.0	571.0	
181.0	181.0	
198.0	198.0	
481.0	481.0	
292.0	292.0	
752.0	752.0	
631.0	631.0	
391.0	391.0	
844.0	844.0	
438.0	438.0	
291.0	291.0	
571.0	570.0	TRUE
569.0	570.0	TRUE
319.0	319.0	
415.0	415.0	
614.0	614.0	
918.0	918.0	
183.0	183.0	
584.0	584.0	
540.0	540.0	
302.0	302.0	
52.0	52.0	
775.0	775.0	
103.0	103.0	
399.0	399.0	
197.0	197.0	
567.0	567.0	
175.0	175.0	
156.0	156.0	
212.0	212.0	
278.0	278.0	
745.0	745.0	
610.0	610.0	
334.0	334.0	
221.0	221.0	
16.0	16.0	
632.0	632.0	
711.0	711.0	
164.0	164.0	
290.0	290.0	
26.0	26.0	
181.0	181.0	
141.0	141.0	
459.0	459.0	
166.0	166.0	
26.0	26.0	
247.0	247.0	
611.0	611.0	
186.0	186.0	
341.0	341.0	
983.0	983.0	
392.0	392.0	
635.0	635.0	
740.0	740.0	
220.0	220.0	
864.0	864.0	
572.0	572.0	
688.0	688.0	
719.0	719.0	
590.0	590.0	
782.0	782.0	
328.0	328.0	
275.0	275.0	
143.0	143.0	
252.0	252.0	
774.0	774.0	
101.0	101.0	
876.0	876.0	
616.0	616.0	
832.0	832.0	
981.0	981.0	
173.0	173.0	
874.0	874.0	
699.0	699.0	
511.0	511.0	
413.0	413.0	
907.0	907.0	
974.0	974.0	
385.0	385.0	
631.0	631.0	
779.0	779.0	
27.0	27.0	
947.0	947.0	
586.0	586.0	
806.0	806.0	
447.0	447.0	
995.0	995.0	
707.0	707.0	
607.0	607.0	
600.0	600.0	
284.0	284.0	
12.0	12.0	
800.0	800.0	
93.0	93.0	
9.0	9.0	
720.0	720.0	
529.0	529.0	
542.0	542.0	
249.0	249.0	
989.0	989.0	
587.0	587.0	
216.0	216.0	
312.0	312.0	
900.0	900.0	
758.0	758.0	
261.0	261.0	
33.0	33.0	
30.0	30.0	
385.0	385.0	
774.0	774.0	
868.0	868.0	
913.0	913.0	
126.0	126.0	
339.0	339.0	
413.0	413.0	
232.0	232.0	
358.0	358.0	
889.0	889.0	
367.0	367.0	
270.0	270.0	
525.0	525.0	
584.0	584.0	
1.0	1.0	
560.0	560.0	
50.0	50.0	
29.0	29.0	
904.0	904.0	
777.0	777.0	
996.0	996.0	
53.0	53.0	
827.0	827.0	
550.0	550.0	
955.0	955.0	
324.0	324.0	
687.0	687.0	
69.0	69.0	
1.0	1.0	
187.0	187.0	
42.0	42.0	
425.0	425.0	
917.0	917.0	
896.0	896.0	
726.0	726.0	
534.0	532.5	TRUE
531.0	532.5	TRUE
972.0	972.0	
848.0	848.0	
155.0	155.0	
715.0	715.0	
812.0	812.0	
212.0	212.0	
806.0	806.0	
358.0	358.0	
310.0	310.0	
228.0	228.0	
313.0	313.0	
951.0	951.0	
640.0	640.0	
427.0	427.0	
488.0	488.0	
412.0	412.0	
231.0	231.0	
697.0	697.0	
144.0	144.0	
916.0	916.0	
824.0	824.0	
847.0	847.0	
914.0	914.0	
33.0	33.0	
464.0	463.0	TRUE
462.0	463.0	TRUE
932.0	932.0	
951.0	951.0	
634.0	634.0	
913.0	913.0	
6.0	6.0	
414.0	414.0	
495.0	495.0	
14.0	14.0	
764.0	764.0	
661.0	661.0	
82.0	82.0	
71.0	71.0	
41.0	41.0	
295.0	295.0	
771.0	771.0	
645.0	645.0	
936.0	936.0	
319.0	319.0	
20.0	20.0	
168.0	168.0	
787.0	787.0	
