Original	Reconstructed	Difference
695.0	695.0	
18.0	18.0	
661.0	661.0	
751.0	751.0	
977.0	977.0	
695.0	695.0	
997.0	997.0	
744.0	744.0	
257.0	257.0	
9.0	9.0	
939.0	939.0	
554.0	554.0	
268.0	268.0	
235.0	235.0	
427.0	427.0	
221.0	221.0	
307.0	307.0	
458.0	458.0	
861.0	861.0	
61.0	61.0	
206.0	206.0	
94.0	94.0	
11.0	11.0	
382.0	382.0	
944.0	944.0	
145.0	145.0	
975.0	975.0	
236.0	236.0	
637.0	637.0	
509.0	509.0	
832.0	832.0	
331.0	331.0	
538.0	538.0	
330.0	330.0	
976.0	976.0	
394.0	394.0	
732.0	732.0	
125.0	125.0	
684.0	684.0	
836.0	836.0	
330.0	330.0	
968.0	968.0	
477.0	477.0	
589.0	589.0	
696.0	696.0	
186.0	186.0	
151.0	151.0	
921.0	921.0	
575.0	580.0	5.0
585.0	580.0	5.0
447.0	447.0	
567.0	567.0	
224.0	224.0	
393.0	393.0	
216.0	216.0	
31.0	31.0	
610.0	610.0	
174.0	174.0	
638.0	638.0	
368.0	368.0	
885.0	885.0	
698.0	698.0	
409.0	409.0	
965.0	965.0	
769.0	769.0	
178.0	178.0	
280.0	280.0	
525.0	525.0	
566.0	566.0	
355.0	355.0	
606.0	606.0	
957.0	957.0	
135.0	135.0	
714.0	714.0	
738.0	738.0	
39.0	39.0	
409.0	409.0	
263.0	263.0	
98.0	98.0	
899.0	899.0	
465.0	465.0	
545.0	545.0	
285.0	285.0	
595.0	595.0	
422.0	422.0	
818.0	818.0	
5.0	5.0	
235.0	235.0	
472.0	472.0	
523.0	523.0	
463.0	463.0	
169.0	169.0	
646.0	646.0	
518.0	518.0	
546.0	546.0	
744.0	744.0	
842.0	842.0	
227.0	227.0	
603.0	603.0	
113.0	113.0	
852.0	852.0	
134.0	134.0	
193.0	193.0	
492.0	492.0	
805.0	805.0	
377.0	377.0	
375.0	375.0	
513.0	513.0	
615.0	615.0	
888.0	888.0	
