Original	Reconstructed	Difference
945.0	945.0	
604.0	604.0	
976.0	976.0	
531.0	531.0	
595.0	595.0	
278.0	278.0	
125.0	125.0	
524.0	524.0	
939.0	939.0	
888.0	888.0	
851.0	859.5	TRUE
868.0	859.5	TRUE
809.0	809.0	
496.0	496.0	
699.0	699.0	
121.0	121.0	
927.0	927.0	
544.0	544.0	
280.0	280.0	
65.0	65.0	
599.0	599.0	
962.0	962.0	
762.0	762.0	
403.0	403.0	
380.0	371.5	TRUE
363.0	371.5	TRUE
858.0	858.0	
239.0	239.0	
938.0	938.0	
832.0	832.0	
389.0	389.0	
609.0	609.0	
724.0	724.0	
153.0	153.0	
276.0	276.0	
581.0	581.0	
252.0	252.0	
657.0	657.0	
997.0	997.0	
555.0	555.0	
215.0	215.0	
79.0	79.0	
559.0	559.0	
360.0	360.0	
69.0	69.0	
885.0	885.0	
649.0	649.0	
314.0	314.0	
186.0	186.0	
851.0	851.0	
446.0	446.0	
978.0	978.0	
208.0	208.0	
350.0	350.0	
914.0	914.0	
561.0	561.0	
308.0	308.0	
85.0	85.0	
171.0	171.0	
730.0	730.0	
562.0	562.0	
753.0	753.0	
857.0	857.0	
640.0	640.0	
808.0	808.0	
36.0	36.0	
944.0	944.0	
380.0	380.0	
878.0	878.0	
926.0	926.0	
213.0	213.0	
306.0	306.0	
383.0	383.0	
995.0	995.0	
830.0	830.0	
147.0	147.0	
465.0	465.0	
582.0	582.0	
995.0	995.0	
680.0	680.0	
308.0	308.0	
641.0	641.0	
181.0	181.0	
813.0	813.0	
600.0	600.0	
325.0	325.0	
822.0	831.5	TRUE
841.0	831.5	TRUE
888.0	888.0	
495.0	495.0	
346.0	346.0	
80.0	80.0	
693.0	693.0	
654.0	654.0	
811.0	811.0	
489.0	489.0	
867.0	867.0	
614.0	614.0	
67.0	67.0	
765.0	765.0	
644.0	644.0	
778.0	778.0	
183.0	183.0	
842.0	842.0	
976.0	976.0	
800.0	800.0	
752.0	752.0	
640.0	640.0	
671.0	671.0	
58.0	58.0	
655.0	655.0	
717.0	717.0	
276.0	276.0	
152.0	152.0	
729.0	729.0	
607.0	607.0	
896.0	896.0	
566.0	566.0	
791.0	791.0	
498.0	498.0	
870.0	870.0	
31.0	31.0	
465.0	465.0	
831.0	831.0	
298.0	298.0	
651.0	651.0	
901.0	901.0	
823.0	823.0	
13.0	13.0	
398.0	398.0	
337.0	337.0	
629.0	629.0	
164.0	164.0	
638.0	638.0	
51.0	51.0	
720.0	720.0	
180.0	180.0	
274.0	274.0	
404.0	404.0	
439.0	439.0	
309.0	309.0	
412.0	412.0	
73.0	73.0	
371.0	371.0	
948.0	948.0	
861.0	861.0	
823.0	823.0	
660.0	660.0	
254.0	254.0	
786.0	786.0	
725.0	725.0	
523.0	523.0	
684.0	684.0	
1000.0	1000.0	
257.0	257.0	
121.0	121.0	
730.0	730.0	
387.0	387.0	
710.0	710.0	
21.0	21.0	
98.0	98.0	
504.0	504.0	
167.0	167.0	
20.0	20.0	
476.0	476.0	
589.0	589.0	
85.0	85.0	
704.0	704.0	
176.0	176.0	
801.0	801.0	
811.0	812.5	TRUE
814.0	812.5	TRUE
461.0	461.0	
957.0	957.0	
360.0	360.0	
458.0	458.0	
84.0	84.0	
290.0	290.0	
521.0	521.0	
825.0	825.0	
404.0	404.0	
89.0	89.0	
785.0	785.0	
175.0	175.0	
702.0	702.0	
544.0	544.0	
234.0	234.5	TRUE
235.0	234.5	TRUE
945.0	945.0	
653.0	653.0	
60.0	60.0	
504.0	504.0	
25.0	25.0	
192.0	192.0	
929.0	929.0	
354.0	354.0	
21.0	21.0	
315.0	315.0	
950.0	950.0	
768.0	768.0	
140.0	140.0	
511.0	511.0	
911.0	911.0	
0.0	0.0	
765.0	765.0	
728.0	728.0	
266.0	266.0	
405.0	405.0	
799.0	799.0	
581.0	581.0	
614.0	614.0	
175.0	175.0	
36.0	36.0	
896.0	896.0	
990.0	990.0	
575.0	575.0	
241.0	241.0	
796.0	796.0	
180.0	180.0	
515.0	515.0	
277.0	277.0	
996.0	996.0	
684.0	684.0	
837.0	837.0	
302.0	302.0	
812.0	812.0	
273.0	273.0	
21.0	21.0	
833.0	833.0	
295.0	295.0	
963.0	963.0	
651.0	651.0	
53.0	53.0	
590.0	590.0	
901.0	901.0	
165.0	165.0	
373.0	373.0	
948.0	948.0	
114.0	114.0	
270.0	270.0	
496.0	496.0	
936.0	936.0	
682.0	682.0	
983.0	983.0	
116.0	116.0	
36.0	36.0	
117.0	126.5	TRUE
136.0	126.5	TRUE
824.0	824.0	
677.0	677.0	
313.0	313.0	
401.0	401.0	
141.0	141.0	
404.0	404.0	
266.0	266.0	
941.0	941.0	
81.0	81.0	
520.0	520.0	
561.0	563.0	TRUE
565.0	563.0	TRUE
779.0	779.0	
731.0	731.0	
744.0	744.0	
222.0	222.0	
672.0	672.0	
134.0	134.0	
670.0	670.5	TRUE
671.0	670.5	TRUE
883.0	883.0	
416.0	416.0	
86.0	86.0	
916.0	916.0	
277.0	277.0	
353.0	353.0	
937.0	937.0	
747.0	747.0	
430.0	430.0	
790.0	790.0	
822.0	822.0	
483.0	483.0	
429.0	429.0	
737.0	737.0	
58.0	58.0	
878.0	878.0	
486.0	486.0	
784.0	784.0	
34.0	34.0	
143.0	143.0	
869.0	869.0	
367.0	367.0	
401.0	401.0	
149.0	149.0	
761.0	761.0	
514.0	514.0	
634.0	634.0	
457.0	457.0	
916.0	916.0	
518.0	518.0	
29.0	29.0	
631.0	631.0	
663.0	663.0	
503.0	503.0	
593.0	593.0	
651.0	651.0	
262.0	262.0	
157.0	157.0	
482.0	482.0	
678.0	678.0	
808.0	808.0	
30.0	30.0	
441.0	450.5	TRUE
460.0	450.5	TRUE
366.0	366.0	
