Original	Reconstructed	Difference
988.0	988.0	
62.0	62.0	
983.0	983.0	
196.0	196.0	
480.0	480.0	
623.0	623.0	
550.0	550.0	
726.0	726.0	
782.0	782.0	
206.0	206.0	
150.0	150.0	
11.0	11.0	
40.0	40.0	
350.0	350.0	
987.0	987.0	
571.0	571.0	
214.0	214.0	
676.0	676.0	
236.0	236.0	
144.0	144.0	
796.0	796.0	
474.0	474.0	
418.0	418.0	
926.0	926.0	
446.0	446.0	
34.0	34.0	
96.0	96.0	
344.0	344.0	
550.0	550.0	
706.0	706.0	
950.0	950.0	
455.0	455.0	
195.0	195.0	
502.0	502.0	
125.0	125.0	
815.0	815.0	
168.0	168.0	
976.0	976.0	
581.0	581.0	
209.0	209.0	
565.0	565.0	
809.0	809.0	
669.0	669.0	
594.0	594.0	
872.0	872.0	
54.0	54.0	
464.0	464.0	
248.0	248.0	
151.0	151.0	
313.0	313.0	
616.0	616.0	
267.0	267.0	
643.0	643.0	
752.0	752.0	
625.0	625.0	
360.0	360.0	
993.0	979.5	13.5
966.0	979.5	13.5
688.0	688.0	
509.0	509.0	
315.0	315.0	
644.0	644.0	
182.0	186.5	4.5
191.0	186.5	4.5
5.0	5.0	
274.0	274.0	
737.0	737.0	
193.0	193.0	
156.0	156.0	
691.0	691.0	
668.0	668.0	
535.0	535.0	
622.0	622.0	
233.0	233.0	
209.0	209.0	
369.0	369.0	
299.0	299.0	
368.0	368.0	
436.0	436.0	
812.0	812.0	
224.0	224.0	
310.0	310.0	
37.0	37.0	
392.0	392.0	
88.0	88.0	
723.0	723.0	
871.0	871.0	
697.0	697.0	
964.0	964.0	
242.0	242.0	
72.0	72.0	
556.0	556.0	
610.0	610.0	
671.0	671.0	
578.0	578.0	
903.0	903.0	
219.0	219.0	
586.0	586.0	
563.0	563.0	
835.0	835.0	
612.0	612.0	
785.0	785.0	
660.0	660.0	
253.0	253.0	
508.0	508.0	
764.0	764.0	
962.0	962.0	
834.0	834.0	
78.0	58.5	19.5
39.0	58.5	19.5
992.0	992.0	
884.0	884.0	
768.0	768.0	
548.0	548.0	
485.0	485.0	
377.0	377.0	
265.0	265.0	
709.0	709.0	
41.0	41.0	
606.0	606.0	
528.0	541.0	13.0
554.0	541.0	13.0
770.0	770.0	
634.0	634.0	
340.0	340.0	
177.0	177.0	
308.0	308.0	
