Original	Reconstructed	Difference
192.0	192.0	
398.0	398.0	
938.0	938.0	
581.0	581.0	
821.0	821.0	
313.0	313.0	
374.0	360.5	13.5
347.0	360.5	13.5
481.0	481.0	
74.0	74.0	
240.0	231.5	8.5
223.0	231.5	8.5
748.0	748.0	
231.0	231.0	
217.0	217.0	
42.0	42.0	
219.0	219.0	
169.0	169.0	
236.0	236.0	
996.0	996.0	
783.0	783.0	
885.0	885.0	
349.0	349.0	
205.0	205.0	
793.0	793.0	
470.0	470.0	
118.0	118.0	
460.0	460.0	
57.0	57.0	
746.0	746.0	
476.0	476.0	
17.0	17.0	
730.0	730.0	
331.0	331.0	
242.0	242.0	
782.0	782.0	
867.0	867.0	
198.0	198.0	
307.0	307.0	
649.0	649.0	
706.0	706.0	
986.0	986.0	
828.0	828.0	
555.0	555.0	
643.0	643.0	
330.0	330.0	
29.0	29.0	
700.0	700.0	
97.0	97.0	
407.0	407.0	
404.0	404.0	
931.0	931.0	
552.0	565.5	13.5
579.0	565.5	13.5
336.0	336.0	
36.0	36.0	
76.0	76.0	
322.0	322.0	
612.0	612.0	
744.0	744.0	
37.0	37.0	
527.0	527.0	
708.0	708.0	
906.0	906.0	
251.0	251.0	
548.0	548.0	
370.0	370.0	
178.0	178.0	
864.0	864.0	
607.0	607.0	
918.0	918.0	
561.0	561.0	
651.0	651.0	
893.0	893.0	
466.0	466.0	
175.0	175.0	
277.0	277.0	
117.0	117.0	
222.0	222.0	
767.0	767.0	
882.0	882.0	
57.0	57.0	
632.0	632.0	
24.0	24.0	
857.0	857.0	
5.0	5.0	
147.0	147.0	
281.0	281.0	
884.0	884.0	
846.0	846.0	
460.0	460.0	
660.0	660.0	
140.0	140.0	
14.0	14.0	
656.0	656.0	
273.0	273.0	
384.0	384.0	
637.0	637.0	
3.0	3.0	
751.0	751.0	
981.0	981.0	
535.0	535.0	
510.0	510.0	
679.0	679.0	
934.0	934.0	
986.0	986.0	
835.0	835.0	
714.0	714.0	
214.0	214.0	
995.0	995.0	
797.0	797.0	
203.0	203.0	
243.0	232.0	11.0
221.0	232.0	11.0
326.0	326.0	
190.0	190.0	
907.0	907.0	
472.0	472.0	
533.0	533.0	
712.0	712.0	
151.0	151.0	
929.0	929.0	
422.0	422.0	
77.0	77.0	
573.0	573.0	
332.0	332.0	
362.0	362.0	
589.0	589.0	
297.0	297.0	
339.0	339.0	
263.0	263.0	
78.0	78.0	
29.0	29.0	
766.0	766.0	
818.0	818.0	
654.0	654.0	
688.0	688.0	
927.0	927.0	
550.0	533.0	17.0
516.0	533.0	17.0
666.0	666.0	
543.0	543.0	
570.0	570.0	
219.0	219.0	
414.0	414.0	
912.0	912.0	
818.0	818.0	
241.0	241.0	
919.0	919.0	
470.0	470.0	
925.0	925.0	
757.0	757.0	
332.0	332.0	
245.0	245.0	
117.0	117.0	
538.0	538.0	
902.0	902.0	
80.0	80.0	
691.0	691.0	
985.0	985.0	
902.0	902.0	
285.0	285.0	
747.0	747.0	
509.0	509.0	
706.0	706.0	
798.0	798.0	
44.0	44.0	
534.0	534.0	
784.0	784.0	
39.0	39.0	
844.0	844.0	
288.0	288.0	
830.0	830.0	
568.0	568.0	
993.0	993.0	
650.0	650.0	
406.0	406.0	
910.0	910.0	
797.0	797.0	
1000.0	1000.0	
343.0	343.0	
644.0	644.0	
797.0	797.0	
34.0	34.0	
328.0	328.0	
656.0	656.0	
981.0	981.0	
546.0	546.0	
245.0	245.0	
861.0	861.0	
65.0	65.0	
747.0	747.0	
205.0	205.0	
782.0	782.0	
409.0	409.0	
733.0	733.0	
930.0	930.0	
74.0	74.0	
410.0	410.0	
309.0	309.0	
662.0	662.0	
