Original	Reconstructed	Difference
501.0	501.0	
266.0	266.0	
852.0	852.0	
735.0	735.0	
455.0	455.0	
882.0	882.0	
135.0	135.0	
368.0	368.0	
672.0	672.0	
32.0	32.0	
534.0	534.0	
894.0	894.0	
39.0	39.0	
849.0	849.0	
473.0	473.0	
89.0	89.0	
287.0	287.0	
198.0	198.0	
422.0	422.0	
76.0	76.0	
770.0	770.0	
85.0	85.0	
762.0	762.0	
850.0	850.0	
908.0	908.0	
560.0	560.0	
645.0	645.0	
317.0	317.0	
852.0	852.0	
296.0	296.0	
217.0	217.0	
680.0	680.0	
315.0	315.0	
85.0	85.0	
969.0	967.5	1.5
966.0	967.5	1.5
416.0	416.0	
140.0	140.0	
743.0	743.0	
325.0	325.0	
976.0	976.0	
890.0	890.0	
113.0	113.5	0.5
114.0	113.5	0.5
267.0	267.0	
453.0	453.0	
952.0	952.0	
899.0	899.0	
628.0	628.0	
969.0	969.0	
219.0	219.0	
589.0	589.0	
766.0	766.0	
718.0	718.0	
853.0	853.0	
594.0	594.0	
930.0	930.0	
722.0	722.0	
943.0	943.0	
974.0	974.0	
466.0	466.0	
717.0	717.0	
37.0	37.0	
606.0	606.0	
271.0	271.0	
411.0	411.0	
919.0	919.0	
812.0	812.0	
910.0	910.0	
624.0	624.0	
793.0	800.0	7.0
807.0	800.0	7.0
440.0	440.0	
235.0	235.0	
649.0	649.0	
493.0	493.0	
380.0	380.0	
661.0	661.0	
60.0	60.0	
525.0	525.0	
628.0	628.0	
32.0	32.0	
79.0	79.0	
728.0	728.0	
236.0	236.0	
189.0	189.0	
403.0	403.0	
440.0	440.0	
889.0	889.0	
525.0	525.0	
102.0	102.0	
254.0	254.0	
986.0	986.0	
116.0	116.0	
257.0	257.0	
64.0	64.0	
61.0	61.0	
282.0	282.0	
484.0	484.0	
603.0	603.0	
259.0	259.0	
630.0	630.0	
550.0	538.5	11.5
527.0	538.5	11.5
588.0	588.0	
209.0	209.0	
132.0	132.0	
564.0	564.0	
462.0	462.0	
352.0	352.0	
27.0	27.0	
200.0	200.0	
19.0	19.0	
514.0	514.0	
172.0	172.0	
796.0	796.0	
72.0	72.0	
660.0	660.0	
278.0	278.0	
438.0	438.0	
374.0	374.0	
908.0	908.0	
596.0	596.0	
533.0	533.0	
881.0	881.0	
762.0	762.0	
958.0	958.0	
586.0	586.0	
15.0	15.0	
388.0	388.0	
33.0	33.0	
116.0	116.0	
596.0	596.0	
549.0	549.0	
866.0	866.0	
480.0	480.0	
168.0	168.0	
886.0	886.0	
242.0	242.0	
881.0	881.0	
108.0	108.0	
492.0	492.0	
705.0	705.0	
542.0	542.0	
622.0	622.0	
267.0	267.0	
902.0	902.0	
180.0	180.0	
349.0	349.0	
591.0	591.0	
193.0	193.0	
928.0	928.0	
289.0	289.0	
721.0	721.0	
144.0	144.0	
41.0	41.0	
405.0	405.0	
219.0	219.0	
190.0	190.0	
969.0	969.0	
865.0	865.0	
122.0	122.0	
892.0	892.0	
18.0	18.0	
446.0	446.0	
290.0	290.0	
218.0	218.0	
25.0	25.0	
886.0	886.0	
924.0	924.0	
508.0	512.5	4.5
517.0	512.5	4.5
568.0	568.0	
151.0	151.0	
137.0	137.0	
650.0	650.0	
45.0	45.0	
378.0	378.0	
869.0	869.0	
633.0	633.0	
364.0	364.0	
932.0	932.0	
824.0	824.0	
32.0	32.0	
954.0	954.0	
499.0	499.0	
901.0	901.0	
268.0	268.0	
390.0	390.0	
345.0	345.0	
218.0	218.0	
984.0	984.0	
989.0	989.0	
103.0	103.0	
932.0	931.5	0.5
931.0	931.5	0.5
415.0	415.0	
990.0	990.0	
488.0	488.0	
113.0	113.0	
65.0	65.0	
219.0	219.0	
153.0	153.0	
924.0	924.0	
293.0	293.0	
226.0	226.0	
61.0	61.0	
365.0	365.0	
616.0	616.0	
150.0	150.0	
67.0	67.0	
436.0	436.0	
52.0	52.0	
195.0	195.0	
779.0	779.0	
313.0	313.0	
726.0	726.0	
8.0	8.0	
592.0	592.0	
919.0	919.0	
746.0	746.0	
232.0	232.0	
108.0	109.5	1.5
111.0	109.5	1.5
208.0	208.0	
815.0	815.0	
173.0	173.0	
427.0	427.0	
170.0	170.0	
872.0	872.0	
737.0	737.0	
552.0	552.0	
533.0	533.0	
229.0	229.0	
559.0	559.0	
181.0	181.0	
281.0	281.0	
690.0	690.0	
718.0	718.0	
158.0	158.0	
885.0	885.0	
127.0	127.0	
310.0	310.0	
772.0	772.0	
815.0	815.0	
958.0	958.0	
78.0	78.0	
327.0	327.0	
414.0	414.0	
898.0	898.0	
87.0	87.0	
41.0	41.0	
865.0	865.0	
913.0	913.0	
614.0	614.0	
262.0	262.0	
28.0	28.0	
168.0	168.0	
557.0	557.0	
973.0	973.0	
101.0	101.0	
329.0	329.0	
47.0	45.5	1.5
44.0	45.5	1.5
737.0	737.0	
168.0	168.0	
151.0	151.0	
443.0	443.0	
386.0	386.0	
320.0	320.0	
597.0	597.0	
870.0	870.0	
908.0	908.0	
709.0	709.0	
479.0	479.0	
259.0	259.0	
841.0	841.0	
365.0	365.0	
843.0	843.0	
112.0	112.0	
391.0	391.0	
13.0	13.0	
647.0	647.0	
530.0	530.0	
905.0	910.5	5.5
916.0	910.5	5.5
666.0	666.0	
102.0	102.0	
148.0	148.0	
198.0	198.0	
456.0	456.0	
11.0	11.0	
819.0	819.0	
116.0	116.0	
607.0	607.0	
786.0	786.0	
768.0	768.0	
100.0	100.0	
904.0	904.0	
503.0	503.0	
25.0	25.0	
600.0	600.0	
690.0	690.0	
433.0	433.0	
847.0	847.0	
213.0	213.0	
915.0	915.0	
662.0	662.0	
508.0	508.0	
621.0	621.0	
595.0	595.0	
919.0	919.0	
275.0	275.0	
363.0	363.0	
99.0	99.0	
763.0	763.0	
268.0	268.0	
936.0	936.0	
743.0	743.0	
804.0	804.0	
947.0	947.0	
1000.0	1000.0	
824.0	824.0	
981.0	981.0	
821.0	817.5	3.5
814.0	817.5	3.5
852.0	852.0	
454.0	454.0	
814.0	827.5	13.5
841.0	827.5	13.5
845.0	845.0	
147.0	147.0	
451.0	451.0	
891.0	891.0	
480.0	480.0	
990.0	990.0	
461.0	461.0	
32.0	32.0	
348.0	348.0	
879.0	879.0	
410.0	410.0	
980.0	980.0	
41.0	41.0	
255.0	255.0	
55.0	55.0	
294.0	294.0	
834.0	834.0	
679.0	679.0	
482.0	482.0	
64.0	64.0	
836.0	836.0	
760.0	760.0	
267.0	267.0	
402.0	402.0	
534.0	534.0	
892.0	892.0	
412.0	412.0	
562.0	562.0	
347.0	347.0	
439.0	439.0	
451.0	451.0	
198.0	198.0	
739.0	738.0	1.0
737.0	738.0	1.0
403.0	403.0	
613.0	613.0	
491.0	491.0	
951.0	951.0	
367.0	367.0	
871.0	871.0	
654.0	654.0	
573.0	573.0	
804.0	804.0	
837.0	837.0	
410.0	410.0	
899.0	899.0	
662.0	662.0	
331.0	331.0	
434.0	434.0	
313.0	313.0	
183.0	183.0	
852.0	852.0	
666.0	666.0	
407.0	407.0	
861.0	861.0	
25.0	25.0	
781.0	781.0	
403.0	403.0	
399.0	399.0	
360.0	360.0	
909.0	909.0	
230.0	230.0	
734.0	734.0	
